"Subject","Start Date","Start Time","End Time","Description","End Date","Categories"
"Πτήση IndiGo 925 προς Lucknow (QPVCJV)","28/1/2024","09:15:00","11:25:00","Πτήση IndiGo 925 (2 ώρες, 10 λεπτά)
Κωδικός επιβεβαίωσης: QPVCJV
 
Επιβάτες: Mr. Dimitrios Vogias, Ms. Christina Patsoura
 
Ηλεκτρονικό check-in <http://rt4-t.customer.goindigo.in/r/?id=h74a4227,61386f6,2bf1&p1=lcR4ZaOjo6Mfw/HpVN0=&p2=lcR4ZaSkpKRhCWys9xMMBSTINWXOAaaDWuLAmEvE3mfdvA==> 
 
Αναχώρηση στις 13:45 την Κυριακή, 28 Ιανουαρίου 2024 από Ranchi (IXR)
 
Άφιξη στις 15:55 την Κυριακή, 28 Ιανουαρίου 2024 σε Lucknow (LKO)
 
Εμφάνιση τοπικής ώρας αεροδρομίου.
 
 
Αυτό το συμβάν προστέθηκε αυτόματα στο ημερολόγιό σας από ηλεκτρονικό ταχυδρομείο από το Outlook.
 
","28/1/2024"
"Αναμονή στο αεροδρόμιο","24/1/2024","08:30:00","11:30:00"," 
","24/1/2024","Break"
"Πάσχα Ορθόδοξο ","5/5/2024","00:00:00","00:00:00",,"6/5/2024"
"Flight to Delhi Delhi Indira Gandhi Intl (DEL) Terminal 3","24/1/2024","12:15:00","19:40:00","Reservation code: TSBMK2
Flight no: LH 762
operated by: Lufthansa
Class: Economy Class (K)
from: Munich Munich (MUC) Terminal 2
to: Delhi Delhi Indira Gandhi Intl (DEL) Terminal 3
Departure: Wed. 24 January 2024 12:15 h
Arrival: Thu. 25 January 2024 00:10 h
Reservation: confirmed
","24/1/2024"
"Check-in Reminder for your flight to Delhi Delhi Indira Gandhi Intl (DEL) Terminal 3","23/1/2024","13:15:00","13:45:00","Online Check-in for your flight LH 762 from Munich Munich (MUC) Terminal 2 to Delhi Delhi Indira Gandhi Intl (DEL) Terminal 3 is possible from around Tue. 23 January 2024 13:15 h until the published check-in deadlines on lufthansa.com <https://www.lufthansa.com/xx/en/prepare-for-your-trip/check-in-overview/check-in-information> .
Please make sure you are checked-in when arriving at the airport.
Here you can directly access to Lufthansa Online Check-in <https://www.lufthansa.com/xx/en/prepare-for-your-trip/check-in> .

Our advice: Download the mobile boarding pass or the mobile check-in confirmation directly into your Lufthansa app and take advantage of all digital app services around your trip like receiving necessary notifications about any flight-related changes or tracking your bags.
","23/1/2024"
"Επέτειος","27/12/2024","00:00:00","00:00:00"," 
","28/12/2024"
"Φαί - Βρες και κλείσε","1/1/2024","00:00:00","00:00:00"," 
","2/1/2024"
"Φαί - Βρες και κλείσε","15/1/2024","00:00:00","00:00:00"," 
","16/1/2024"
"Φαί - Βρες και κλείσε","29/1/2024","00:00:00","00:00:00"," 
","30/1/2024"
"Φαί - Βρες και κλείσε","12/2/2024","00:00:00","00:00:00"," 
","13/2/2024"
"Φαί - Βρες και κλείσε","26/2/2024","00:00:00","00:00:00"," 
","27/2/2024"
"Φαί - Βρες και κλείσε","11/3/2024","00:00:00","00:00:00"," 
","12/3/2024"
"Φαί - Βρες και κλείσε","25/3/2024","00:00:00","00:00:00"," 
","26/3/2024"
"Φαί - Βρες και κλείσε","8/4/2024","00:00:00","00:00:00"," 
","9/4/2024"
"Φαί - Βρες και κλείσε","22/4/2024","00:00:00","00:00:00"," 
","23/4/2024"
"Φαί - Βρες και κλείσε","6/5/2024","00:00:00","00:00:00"," 
","7/5/2024"
"Φαί - Βρες και κλείσε","20/5/2024","00:00:00","00:00:00"," 
","21/5/2024"
"Φαί - Βρες και κλείσε","3/6/2024","00:00:00","00:00:00"," 
","4/6/2024"
"Φαί - Βρες και κλείσε","17/6/2024","00:00:00","00:00:00"," 
","18/6/2024"
"Φαί - Βρες και κλείσε","1/7/2024","00:00:00","00:00:00"," 
","2/7/2024"
"Φαί - Βρες και κλείσε","15/7/2024","00:00:00","00:00:00"," 
","16/7/2024"
"Φαί - Βρες και κλείσε","29/7/2024","00:00:00","00:00:00"," 
","30/7/2024"
"Φαί - Βρες και κλείσε","12/8/2024","00:00:00","00:00:00"," 
","13/8/2024"
"Φαί - Βρες και κλείσε","26/8/2024","00:00:00","00:00:00"," 
","27/8/2024"
"Φαί - Βρες και κλείσε","9/9/2024","00:00:00","00:00:00"," 
","10/9/2024"
"Φαί - Βρες και κλείσε","23/9/2024","00:00:00","00:00:00"," 
","24/9/2024"
"Φαί - Βρες και κλείσε","7/10/2024","00:00:00","00:00:00"," 
","8/10/2024"
"Φαί - Βρες και κλείσε","21/10/2024","00:00:00","00:00:00"," 
","22/10/2024"
"Φαί - Βρες και κλείσε","4/11/2024","00:00:00","00:00:00"," 
","5/11/2024"
"Φαί - Βρες και κλείσε","18/11/2024","00:00:00","00:00:00"," 
","19/11/2024"
"Φαί - Βρες και κλείσε","2/12/2024","00:00:00","00:00:00"," 
","3/12/2024"
"Φαί - Βρες και κλείσε","16/12/2024","00:00:00","00:00:00"," 
","17/12/2024"
"Φαί - Βρες και κλείσε","30/12/2024","00:00:00","00:00:00"," 
","31/12/2024"
